Date,Open,High,Low,Close,0
2017-04-21,104.6,104.6,104.6,104.6,0
2017-04-20,104.6,104.6,104.6,104.6,0
2017-04-19,104.6,104.6,104.6,104.6,0
2017-04-18,104.6,104.6,104.6,104.6,0
2017-04-13,104.6,104.6,104.6,104.6,0
2017-04-12,104.6,104.6,104.6,104.6,0
2017-04-11,104.6,104.6,104.6,104.6,0
2017-04-10,104.5,104.5,104.5,104.5,0
2017-04-07,104.5,104.5,104.5,104.5,0
2017-04-06,104.5,104.5,104.5,104.5,0
2017-04-05,104.5,104.5,104.5,104.5,0
2017-04-04,104.5,104.5,104.5,104.5,0
2017-04-03,104.4,104.4,104.4,104.4,0
2017-03-31,104.4,104.4,104.4,104.4,0
2017-03-30,104.3,104.3,104.3,104.3,0
2017-03-29,104.2,104.2,104.2,104.2,0
2017-03-28,104.2,104.2,104.2,104.2,0
2017-03-27,104.2,104.2,104.2,104.2,0
2017-03-24,104.2,104.2,104.2,104.2,0
2017-03-23,104.3,104.3,104.3,104.3,0
2017-03-22,104.2,104.2,104.2,104.2,0
2017-03-21,104.2,104.2,104.2,104.2,0
2017-03-20,104.2,104.2,104.2,104.2,0
2017-03-17,104.1,104.1,104.1,104.1,0
2017-03-16,104.2,104.2,104.2,104.2,0
2017-03-15,104.2,104.2,104.2,104.2,0
2017-03-14,104.1,104.1,104.1,104.1,0
2017-03-13,104.1,104.1,104.1,104.1,0
2017-03-10,104.1,104.1,104.1,104.1,0
2017-03-09,104.1,104.1,104.1,104.1,0
2017-03-08,104.1,104.1,104.1,104.1,0
2017-03-07,104.1,104.1,104.1,104.1,0
2017-03-06,104.1,104.1,104.1,104.1,0
2017-03-03,104,104,104,104,0
2017-03-02,104,104,104,104,0
2017-03-01,104.1,104.1,104.1,104.1,0
2017-02-28,104,104,104,104,0
2017-02-27,103.9,103.9,103.9,103.9,0
2017-02-24,103.9,103.9,103.9,103.9,0
2017-02-23,103.7,103.7,103.7,103.7,0
2017-02-22,103.7,103.7,103.7,103.7,0
2017-02-21,103.7,103.7,103.7,103.7,0
2017-02-20,103.7,103.7,103.7,103.7,0
2017-02-17,103.6,103.6,103.6,103.6,0
2017-02-16,103.5,103.5,103.5,103.5,0
2017-02-15,103.5,103.5,103.5,103.5,0
2017-02-14,103.4,103.4,103.4,103.4,0
2017-02-13,103.4,103.4,103.4,103.4,0
2017-02-10,103.4,103.4,103.4,103.4,0
2017-02-09,103.4,103.4,103.4,103.4,0
2017-02-08,103.3,103.3,103.3,103.3,0
2017-02-07,103.3,103.3,103.3,103.3,0
2017-02-06,103.2,103.2,103.2,103.2,0
2017-02-03,103.1,103.1,103.1,103.1,0
2017-02-02,103,103,103,103,0
2017-02-01,102.9,102.9,102.9,102.9,0
2017-01-31,102.9,102.9,102.9,102.9,0
2017-01-30,102.9,102.9,102.9,102.9,0
2017-01-27,102.8,102.8,102.8,102.8,0
2017-01-26,102.8,102.8,102.8,102.8,0
2017-01-25,102.9,102.9,102.9,102.9,0
2017-01-24,102.9,102.9,102.9,102.9,0
2017-01-23,102.8,102.8,102.8,102.8,0
2017-01-20,102.7,102.7,102.7,102.7,0
2017-01-19,102.8,102.8,102.8,102.8,0
2017-01-18,102.8,102.8,102.8,102.8,0
2017-01-17,102.8,102.8,102.8,102.8,0
2017-01-16,102.8,102.8,102.8,102.8,0
2017-01-13,102.7,102.7,102.7,102.7,0
2017-01-12,102.7,102.7,102.7,102.7,0
2017-01-11,102.6,102.6,102.6,102.6,0
2017-01-10,102.7,102.7,102.7,102.7,0
2017-01-09,102.6,102.6,102.6,102.6,0
2017-01-06,102.6,102.6,102.6,102.6,0
2017-01-05,102.5,102.5,102.5,102.5,0
2017-01-04,102.6,102.6,102.6,102.6,0
2017-01-03,102.6,102.6,102.6,102.6,0
2016-12-30,102.6,102.6,102.6,102.6,0
2016-12-29,102.6,102.6,102.6,102.6,0
2016-12-28,102.5,102.5,102.5,102.5,0
2016-12-23,102.4,102.4,102.4,102.4,0
2016-12-22,102.3,102.3,102.3,102.3,0
2016-12-21,102.2,102.2,102.2,102.2,0
2016-12-20,102.2,102.2,102.2,102.2,0
2016-12-19,102,102,102,102,0
2016-12-16,101.9,101.9,101.9,101.9,0
2016-12-15,101.9,101.9,101.9,101.9,0
2016-12-14,102,102,102,102,0
2016-12-13,102,102,102,102,0
2016-12-12,101.9,101.9,101.9,101.9,0
2016-12-09,102,102,102,102,0
2016-12-08,101.7,101.7,101.7,101.7,0
2016-12-07,101.7,101.7,101.7,101.7,0
2016-12-06,101.7,101.7,101.7,101.7,0
2016-12-05,101.7,101.7,101.7,101.7,0
2016-12-02,101.6,101.6,101.6,101.6,0
2016-12-01,101.5,101.5,101.5,101.5,0
2016-11-30,101.6,101.6,101.6,101.6,0
2016-11-29,101.6,101.6,101.6,101.6,0
2016-11-28,101.6,101.6,101.6,101.6,0
2016-11-25,101.5,101.5,101.5,101.5,0
2016-11-24,101.5,101.5,101.5,101.5,0
2016-11-23,101.5,101.5,101.5,101.5,0
2016-11-22,101.5,101.5,101.5,101.5,0
2016-11-21,101.4,101.4,101.4,101.4,0
2016-11-18,101.4,101.4,101.4,101.4,0
2016-11-17,101.5,101.5,101.5,101.5,0
2016-11-16,101.4,101.4,101.4,101.4,0
2016-11-15,101.4,101.4,101.4,101.4,0
2016-11-14,101.4,101.4,101.4,101.4,0
2016-11-11,101.5,101.5,101.5,101.5,0
2016-11-10,101.6,101.6,101.6,101.6,0
2016-11-09,101.6,101.6,101.6,101.6,0
2016-11-08,101.8,101.8,101.8,101.8,0
2016-11-07,101.8,101.8,101.8,101.8,0
2016-11-04,101.7,101.7,101.7,101.7,0
2016-11-03,101.7,101.7,101.7,101.7,0
2016-11-02,101.6,101.6,101.6,101.6,0
2016-11-01,101.6,101.6,101.6,101.6,0
2016-10-31,103,103,103,103,0
2016-10-28,102.9,102.9,102.9,102.9,0
2016-10-27,103,103,103,103,0
2016-10-26,103.1,103.1,103.1,103.1,0
2016-10-25,103.1,103.1,103.1,103.1,0
2016-10-24,103.2,103.2,103.2,103.2,0
2016-10-21,103.2,103.2,103.2,103.2,0
2016-10-20,103.1,103.1,103.1,103.1,0
2016-10-19,103.2,103.2,103.2,103.2,0
2016-10-18,103.1,103.1,103.1,103.1,0
2016-10-17,103.1,103.1,103.1,103.1,0
2016-10-14,103.1,103.1,103.1,103.1,0
2016-10-13,103.2,103.2,103.2,103.2,0
2016-10-12,103.1,103.1,103.1,103.1,0
2016-10-11,103.2,103.2,103.2,103.2,0
2016-10-10,103.2,103.2,103.2,103.2,0
2016-10-07,103.3,103.3,103.3,103.3,0
2016-10-06,103.4,103.4,103.4,103.4,0
2016-10-05,103.5,103.5,103.5,103.5,0
2016-10-04,103.6,103.6,103.6,103.6,0
2016-10-03,103.5,103.5,103.5,103.5,0
2016-09-30,103.6,103.6,103.6,103.6,0
2016-09-29,103.5,103.5,103.5,103.5,0
2016-09-28,103.6,103.6,103.6,103.6,0
2016-09-27,103.6,103.6,103.6,103.6,0
2016-09-26,103.5,103.5,103.5,103.5,0
2016-09-23,103.5,103.5,103.5,103.5,0
2016-09-22,103.4,103.4,103.4,103.4,0
2016-09-21,103.4,103.4,103.4,103.4,0
2016-09-20,103.3,103.3,103.3,103.3,0
2016-09-19,103.3,103.3,103.3,103.3,0
2016-09-16,103.3,103.3,103.3,103.3,0
2016-09-15,103.2,103.2,103.2,103.2,0
2016-09-14,103.1,103.1,103.1,103.1,0
2016-09-13,103.2,103.2,103.2,103.2,0
2016-09-12,103.2,103.2,103.2,103.2,0
2016-09-09,103.2,103.2,103.2,103.2,0
2016-09-08,103.4,103.4,103.4,103.4,0
2016-09-07,103.4,103.4,103.4,103.4,0
2016-09-06,103.3,103.3,103.3,103.3,0
2016-09-05,103.2,103.2,103.2,103.2,0
2016-09-02,103.2,103.2,103.2,103.2,0
2016-09-01,103.2,103.2,103.2,103.2,0
2016-08-31,103.2,103.2,103.2,103.2,0
2016-08-30,103.2,103.2,103.2,103.2,0
2016-08-26,103.2,103.2,103.2,103.2,0
2016-08-25,103.2,103.2,103.2,103.2,0
2016-08-24,103.2,103.2,103.2,103.2,0
2016-08-23,103.2,103.2,103.2,103.2,0
2016-08-22,103.1,103.1,103.1,103.1,0
2016-08-19,103.1,103.1,103.1,103.1,0
2016-08-18,103.1,103.1,103.1,103.1,0
2016-08-17,103.1,103.1,103.1,103.1,0
2016-08-16,103.2,103.2,103.2,103.2,0
2016-08-15,103.2,103.2,103.2,103.2,0
2016-08-12,103.1,103.1,103.1,103.1,0
2016-08-11,103.2,103.2,103.2,103.2,0
2016-08-10,103.2,103.2,103.2,103.2,0
2016-08-09,103.1,103.1,103.1,103.1,0
2016-08-08,103,103,103,103,0
2016-08-05,102.9,102.9,102.9,102.9,0
2016-08-04,102.5,102.5,102.5,102.5,0
2016-08-03,102.4,102.4,102.4,102.4,0
2016-08-02,102.4,102.4,102.4,102.4,0
2016-08-01,102.5,102.5,102.5,102.5,0
2016-07-29,102.4,102.4,102.4,102.4,0
2016-07-28,102.4,102.4,102.4,102.4,0
2016-07-27,102.3,102.3,102.3,102.3,0
2016-07-26,102.3,102.3,102.3,102.3,0
2016-07-25,102.2,102.2,102.2,102.2,0
2016-07-22,102.1,102.1,102.1,102.1,0
2016-07-21,102,102,102,102,0
2016-07-20,102,102,102,102,0
2016-07-19,102,102,102,102,0
2016-07-18,102,102,102,102,0
2016-07-15,101.9,101.9,101.9,101.9,0
2016-07-14,101.9,101.9,101.9,101.9,0
2016-07-13,101.8,101.8,101.8,101.8,0
2016-07-12,101.7,101.7,101.7,101.7,0
2016-07-11,101.7,101.7,101.7,101.7,0
2016-07-08,101.6,101.6,101.6,101.6,0
2016-07-07,101.7,101.7,101.7,101.7,0
2016-07-06,101.7,101.7,101.7,101.7,0
2016-07-05,101.6,101.6,101.6,101.6,0
2016-07-04,101.6,101.6,101.6,101.6,0
2016-07-01,101.5,101.5,101.5,101.5,0
2016-06-30,101.2,101.2,101.2,101.2,0
2016-06-29,101.3,101.3,101.3,101.3,0
2016-06-28,101.3,101.3,101.3,101.3,0
2016-06-27,101.3,101.3,101.3,101.3,0
2016-06-24,101.2,101.2,101.2,101.2,0
2016-06-23,101.1,101.1,101.1,101.1,0
2016-06-22,101.1,101.1,101.1,101.1,0
2016-06-21,101.1,101.1,101.1,101.1,0
2016-06-20,101.2,101.2,101.2,101.2,0
2016-06-17,101.3,101.3,101.3,101.3,0
2016-06-16,101.4,101.4,101.4,101.4,0
2016-06-15,101.3,101.3,101.3,101.3,0
2016-06-14,101.4,101.4,101.4,101.4,0
2016-06-13,101.3,101.3,101.3,101.3,0
2016-06-10,101.3,101.3,101.3,101.3,0
2016-06-09,101.3,101.3,101.3,101.3,0
2016-06-08,101.2,101.2,101.2,101.2,0
2016-06-07,101.2,101.2,101.2,101.2,0
2016-06-06,101.2,101.2,101.2,101.2,0
2016-06-03,101.1,101.1,101.1,101.1,0
2016-06-02,101.1,101.1,101.1,101.1,0
2016-06-01,101,101,101,101,0
2016-05-31,100.9,100.9,100.9,100.9,0
2016-05-27,100.9,100.9,100.9,100.9,0
2016-05-26,100.8,100.8,100.8,100.8,0
2016-05-25,100.8,100.8,100.8,100.8,0
2016-05-24,100.7,100.7,100.7,100.7,0
2016-05-23,100.7,100.7,100.7,100.7,0
2016-05-20,100.6,100.6,100.6,100.6,0
2016-05-19,100.6,100.6,100.6,100.6,0
2016-05-18,100.7,100.7,100.7,100.7,0
2016-05-17,100.7,100.7,100.7,100.7,0
2016-05-16,100.8,100.8,100.8,100.8,0
2016-05-13,100.7,100.7,100.7,100.7,0
2016-05-12,100.7,100.7,100.7,100.7,0
2016-05-11,100.7,100.7,100.7,100.7,0
2016-05-10,100.7,100.7,100.7,100.7,0
2016-05-09,100.7,100.7,100.7,100.7,0
2016-05-06,100.6,100.6,100.6,100.6,0
2016-05-05,100.5,100.5,100.5,100.5,0
2016-05-04,100.5,100.5,100.5,100.5,0
2016-05-03,100.4,100.4,100.4,100.4,0
2016-04-29,101.7,101.7,101.7,101.7,0
2016-04-28,101.7,101.7,101.7,101.7,0
2016-04-27,101.6,101.6,101.6,101.6,0
2016-04-26,101.6,101.6,101.6,101.6,0
2016-04-25,101.7,101.7,101.7,101.7,0
2016-04-22,101.6,101.6,101.6,101.6,0
2016-04-21,101.6,101.6,101.6,101.6,0
